,Ticker,Sharpe,CAGR
109,META,0.08784040522781261,0.0014737177029384707
110,MO,0.042561835235563054,0.00034180751804036014
111,MPC,0.11036821264476081,0.0014543019687027758
112,MS,0.05299043405828662,0.0005905076706391732
113,MSFT,0.06321361330864723,0.0006272559342557216
114,NDAQ,0.025872342743838907,0.00023617144219834074
115,NESN.SW,-0.029317556853983934,-0.00026654103591861045
116,NET,0.011362964940768315,-7.798665163061269e-05
117,NKLA,,
118,NTLA,-0.038469935810189794,-0.0015816221672848574
119,NVCR,-0.04585601156116314,-0.0033404655791444693
120,NVDA,0.1320878477154093,0.002775281901105986
121,NVTA,,
122,O,-0.010310463407131829,-0.00015884957435008396
123,OXY,0.02564834663261487,0.00023283580804367432
124,PACB,-0.0839839321210034,-0.00537323382560817
